Name	Coefficient
Intercept	7.956038
DKK1	-0.014579
CSF2	-0.013517
HSPA6	-0.013489
HSPA7	-0.012573
IL36G	-0.011494
ANKRD1	-0.011378
GJA5	-0.011105
GADD45A	-0.010646
CXCL1	-0.010642
IER5	-0.010542
SOX9	-0.010455
SIK1	-0.010294
NMU	0.010281
KRT23	-0.010227
HBEGF	-0.009995
CXCL2	-0.009971
CXCL3	-0.009840
DNAJB1	-0.009701
PLK2	-0.009583
KRT75	-0.009358
LIF	-0.009256
TNS4	-0.009252
TP63	-0.009212
IFFO2	-0.009127
CPA4	-0.009112
DUSP6	-0.009069
PDGFB	-0.008972
C1orf116	-0.008966
BAG3	-0.008938
AMIGO2	-0.008933
DUSP4	-0.008829
CLDN1	-0.008781
AREG	-0.008720
WNT7A	-0.008656
TAC1	0.008440
ALOXE3	-0.008345
TNFRSF8	0.008344
PLAU	-0.008342
EGLN3	-0.008296
TMEM40	-0.008216
CDCA3	0.008212
TGFB2	-0.008202
SFN	-0.008197
TGM2	-0.008185
HOXC13	-0.008182
DUSP10	-0.008001
XDH	-0.007976
DAPP1	-0.007928
SOCS3	-0.007924
MIR3197	-0.007902
EMILIN3	0.007895
FANCD2	0.007839
FLRT3	-0.007805
EPHA2	-0.007799
SERPINB5	-0.007744
USP54	-0.007742
TLR4	-0.007695
IRS2	-0.007668
F3	-0.007606
HS3ST1	-0.007602
EDN1	-0.007569
ZC3H12A	-0.007449
HSPA1A	-0.007429
BMP2	-0.007425
MICALCL	-0.007413
CDC42EP3	-0.007407
BCAR3	-0.007390
CEBPD	-0.007343
C1orf106	-0.007339
SPRY2	-0.007330
TBX3	-0.007288
HSPA1B	-0.007281
IER3	-0.007271
FOXC2	-0.007264
CR2	0.007238
ATP1B1	-0.007237
FERMT3	-0.007224
LOC440896	0.007215
INHBA	-0.007190
HSPH1	-0.007188
GDF15	-0.007173
LIPG	-0.007165
USP43	-0.007154
CITED4	-0.007112
MYC	-0.007059
RIPK4	-0.007015
GATA3	-0.006966
DEDD2	-0.006936
NRG1	-0.006914
MATK	0.006898
ERRFI1	-0.006895
NEDD4L	-0.006892
AMOTL2	-0.006868
NGF	-0.006859
OSGIN1	-0.006854
CRYAB	-0.006845
PPP1R15A	-0.006844
CITED2	-0.006837
HAS2	-0.006803
KRT16	-0.006790
WIF1	0.006783
IFI6	-0.006767
EGR3	-0.006767
NEDD9	-0.006723
IRF6	-0.006720
KLF5	-0.006707
FOXC1	-0.006682
NUAK1	-0.006670
CLCF1	-0.006670
KLHDC7B	-0.006630
NKX6-2	0.006621
MAFF	-0.006597
RNF144B	-0.006583
C10orf10	-0.006563
HPGD	0.006553
FAM84B	-0.006543
TSPAN7	0.006521
BTG1	-0.006509
PMEPA1	-0.006505
HSPB8	-0.006501
KLHL25	-0.006456
BCL2L1	-0.006414
POU2F2	-0.006413
IRX1	-0.006407
CEBPB	-0.006398
SMTN	-0.006391
BNC1	-0.006383
YBX2	0.006359
SP6	-0.006330
KRT7	-0.006325
TGFA	-0.006312
HERPUD1	-0.006310
PDE1C	-0.006304
ETS2	-0.006298
UBC	-0.006295
SOX4	-0.006279
PLEKHA6	-0.006249
ADAMTS5	-0.006245
DUSP7	-0.006223
PHLDB2	-0.006221
IER5L	-0.006214
EFNB1	-0.006190
TUFT1	-0.006151
ABCG2	0.006112
UBASH3B	-0.006083
CTGF	-0.006080
PLK3	-0.006079
SOX7	-0.006073
ADD2	0.006056
SHC4	-0.006029
TMEM2	-0.006019
LMCD1	-0.005990
SMURF2	-0.005972
FGD6	-0.005969
ITGA2	-0.005960
TFAP2A	-0.005945
RASA1	-0.005930
ANKRD35	0.005891
ELL2	-0.005882
TES	-0.005859
SGK223	-0.005842
TRAF3IP3	-0.005840
CCL2	-0.005826
FAM110C	-0.005813
PARPBP	0.005801
THBS1	-0.005742
MATN3	0.005741
RASSF10	-0.005713
EFNA1	-0.005700
TMEM217	-0.005679
TMEM139	-0.005655
AJUBA	-0.005651
TGIF1	-0.005650
ARSE	0.005649
PTPRE	-0.005616
LGALSL	-0.005614
SGK1	-0.005614
BST2	-0.005577
DIAPH3	0.005561
BTG2	-0.005552
FAM83B	-0.005542
MYO10	-0.005532
JUP	-0.005529
BTN1A1	0.005529
SLC27A3	0.005503
SNX10	0.005465
CDK6	-0.005441
KIAA0226L	-0.005438
PLEKHG3	-0.005418
PKP1	-0.005415
DCBLD2	-0.005394
KRT81	-0.005361
MAP2K3	-0.005358
CCDC34	0.005353
TBC1D10A	-0.005338
DTYMK	0.005317
ZFP36L1	-0.005304
IFITM1	-0.005281
CDKN1A	-0.005274
RUSC2	-0.005266
EDNRB	0.005257
KCTD11	-0.005243
CHMP4C	-0.005227
NFKBIZ	-0.005206
CMIP	-0.005205
NOTCH1	-0.005197
HSPB1	-0.005174
MXD1	-0.005170
BPGM	-0.005137
PAX8	-0.005124
GFRA3	0.005113
PXDC1	-0.005110
FOSL2	-0.005109
PPP1R13L	-0.005098
KRT17	-0.005087
DUSP14	-0.005065
SVIL	-0.005062
FST	-0.005056
PXN	-0.005054
IRX3	-0.005039
JUN	-0.005037
DSCAM	-0.005021
ZSWIM6	-0.005003
SLC43A1	0.005002
SUSD5	0.004994
HIST1H2BK	0.004969
TOB1	-0.004968
FZD8	-0.004924
TBC1D2	-0.004924
ZNF503	-0.004922
CLK1	-0.004913
CPEB4	-0.004903
EHD1	-0.004893
ANXA3	-0.004892
TNFRSF21	-0.004870
PTK2B	-0.004865
TBC1D22B	-0.004853
FAM214B	-0.004843
SH3BP4	-0.004842
IQGAP2	0.004823
SERPINB8	-0.004822
BCL10	-0.004819
CYR61	-0.004809
PLBD1	0.004808
POC1A	0.004795
KIAA1324	0.004789
BHLHE40	-0.004784
SH3RF1	-0.004765
EFNB2	-0.004734
TMEM51	-0.004731
TIPARP	-0.004730
H1F0	-0.004721
PHC2	-0.004716
CCDC71L	-0.004705
TRAF3IP2	-0.004683
SERTAD1	-0.004667
LDLR	-0.004662
OLFM1	0.004659
F2RL1	-0.004651
NT5DC2	0.004648
RGMB	-0.004639
SEMA6A	-0.004619
CCND3	0.004617
NAV2	-0.004614
NFKBIE	-0.004607
SCARA3	0.004596
SHISA9	-0.004591
ATP6V1B2	-0.004584
MEF2D	-0.004567
LRRC20	0.004559
NKX2-8	-0.004530
NFKBIA	-0.004526
HES1	-0.004524
HPS5	-0.004521
GRAMD3	-0.004517
STK17A	-0.004508
KRT6B	-0.004499
KIAA0040	-0.004492
CCRN4L	-0.004476
RNF19A	-0.004469
KLHL29	-0.004457
PDP1	-0.004453
BCL11A	-0.004452
C16orf72	-0.004445
ELL	-0.004403
IRF9	-0.004403
PRR11	0.004396
DRAM1	-0.004382
SHB	-0.004380
KRT6A	-0.004379
TJP1	-0.004361
ZFAND5	-0.004345
TRIM22	-0.004319
C6orf132	-0.004310
TFAP2C	-0.004306
FHL2	-0.004267
ANXA8L1	-0.004256
C11orf84	-0.004256
UBE2H	-0.004255
EIF2AK3	-0.004251
LATS2	-0.004249
SDC4	-0.004247
EMP1	-0.004222
CCND1	-0.004221
LSM4	0.004205
CCNJL	-0.004201
ARL6IP1	-0.004180
PIM1	-0.004155
SLC31A2	-0.004145
SMURF1	-0.004133
IRF2BP2	-0.004121
MTSS1	-0.004107
ZNF436	-0.004088
CTSF	0.004083
BDNF	-0.004079
VASP	-0.004068
KIAA0247	-0.004065
PDGFRL	0.004064
TIMM13	0.004039
MEX3C	-0.004036
KRT6C	-0.004034
GRHL2	-0.004025
FRMD8	-0.004022
FEM1C	-0.004022
VDR	-0.004015
INPP4B	-0.003989
SERPINE1	-0.003957
ANXA8	-0.003952
EIF4A2	-0.003944
FRMD5	-0.003940
RAPH1	-0.003931
OSBPL3	-0.003908
POLD2	0.003908
HK2	-0.003906
TNFRSF12A	-0.003855
KRT8	-0.003838
BLCAP	-0.003824
CCNL1	-0.003822
DCUN1D3	-0.003808
SERTAD2	-0.003778
ADM	-0.003772
MKL1	-0.003743
SORD	0.003742
SEC14L2	-0.003737
PDLIM4	-0.003730
WBP2	-0.003720
PARP9	-0.003712
BTBD10	-0.003700
IP6K2	-0.003684
AHCY	0.003682
FKBP11	0.003673
TLE1	-0.003655
FHDC1	-0.003655
ARHGEF2	-0.003653
RBPMS2	0.003644
SIPA1L2	-0.003638
PCF11	-0.003635
IRAK1	0.003629
PTPN14	-0.003608
SLC2A1	-0.003572
ZNF394	-0.003561
LIMK2	-0.003559
TSPAN4	0.003558
PPP1R14C	-0.003553
IFNGR2	-0.003544
AKAP17A	-0.003507
DDX60	-0.003484
PI4K2A	-0.003481
PSMC3	0.003480
NDEL1	-0.003470
CDC42SE1	-0.003469
PHF23	-0.003438
DLGAP4	-0.003436
IFI44L	-0.003430
HERC6	-0.003401
CISD3	0.003386
NFE2L2	-0.003363
NT5DC3	-0.003332
DNAJB6	-0.003318
DGKA	-0.003314
C15orf38	0.003313
NTHL1	0.003313
MAP2K4	-0.003269
TNFAIP1	-0.003265
DYRK1A	-0.003263
STK10	-0.003247
DNTTIP1	-0.003221
SMARCD3	0.003196
KCTD5	-0.003168
HSP90AB1	-0.003159
UROD	0.003123
TOB2	-0.003123
AKR7A2	0.003117
CTNNB1	-0.003117
H3F3B	-0.003105
ERI3	0.003086
SMG8	-0.003085
TUBG1	0.003049
AKIRIN2	-0.003042
C8orf33	0.003030
COMMD4	0.003029
ATPAF1	0.003009
IFIT3	0.003009
NUMB	-0.002984
PIP5K1A	-0.002984
ZCCHC6	-0.002979
SFXN5	0.002974
SIX4	-0.002973
CSRNP2	-0.002966
NAA38	0.002956
PELI1	-0.002939
NFKB1	-0.002939
ZFYVE1	-0.002935
GANAB	0.002933
ARL8A	-0.002923
EZR	-0.002918
ACBD3	-0.002914
OSBP	-0.002911
PAPD7	-0.002899
MRPS25	0.002897
ST6GALNAC4	0.002894
KRT5	-0.002884
FADS3	-0.002882
SLC41A3	0.002880
TAOK3	-0.002866
C18orf25	-0.002866
QDPR	0.002847
ENG	0.002840
TEX264	0.002838
SQSTM1	-0.002833
MAPK7	-0.002827
MAN1B1	0.002800
AKAP8L	-0.002766
PHB2	0.002745
GYS1	-0.002737
DIP2B	-0.002731
TLE4	-0.002724
YTHDC1	-0.002712
AK2	0.002706
LUZP1	-0.002704
OAS2	-0.002694
ARHGEF5	-0.002689
TMEM208	0.002659
MN1	-0.002642
RAB22A	-0.002628
POLR2A	-0.002627
FAM120B	-0.002607
YWHAG	-0.002593
TERF2IP	-0.002587
XBP1	-0.002586
UBR2	-0.002585
ZNF274	-0.002583
ACP1	0.002582
EPS15L1	-0.002574
EPSTI1	-0.002563
EXT1	-0.002556
RBM5	-0.002550
ABAT	-0.002535
ZNF304	-0.002534
ZFHX2	-0.002522
PLEK2	0.002508
TAF7	-0.002460
ZNF805	-0.002448
MAD2L1BP	-0.002444
EPG5	-0.002425
MCL1	-0.002416
PSAP	0.002390
KDM4A	-0.002385
SIRPA	-0.002348
SMPD1	0.002316
KDM6A	-0.002233
FKBP4	-0.002232
CHMP1B	-0.002230
RIOK3	-0.002225
GRIA4	0.002224
WDR20	-0.002208
