Index	Sample	Type	Method	Probability	Lower CI	Upper CI	Metagene
0	GFP-1	train0	FITTED	0.0294078	0.0	0.2135432	-3.6089813
1	GFP-2	train0	FITTED	0.0328897	0.0	0.224564	-3.4387168
2	GFP-3	train0	FITTED	0.0320342	0.0	0.2219627	-3.4784675
3	GFP-4	train0	FITTED	0.0245649	0.0	0.1959771	-3.8913193
4	GFP-5	train0	FITTED	0.0512032	0.0	0.2692472	-2.8002413
5	GFP-7	train0	FITTED	0.0344425	0.0	0.2291245	-3.3696494
6	GFP-8	train0	FITTED	0.0275974	0.0	0.207316	-3.7074424
7	GFP-10	train0	FITTED	0.0548184	0.0	0.2762672	-2.7061109
8	PI3K-1	train1	FITTED	0.9444158	0.7374001	1.0	2.8320059
9	PI3K-2	train1	FITTED	0.9515879	0.7539061	1.0	3.0124734
10	PI3K-4	train1	FITTED	0.9453989	0.7395535	1.0	2.8551296
11	PI3K-5	train1	FITTED	0.9414288	0.7321471	1.0	2.7644728
12	PI3K-6	train1	FITTED	0.9422213	0.7334122	1.0	2.7820086
13	PI3K-7	train1	FITTED	0.9519316	0.7545503	1.0	3.0218761
14	PI3K-8	train1	FITTED	0.9487307	0.7471027	1.0	2.9371505
15	PI3K-9	train1	FITTED	0.9440005	0.7365002	1.0	2.8223776
16	PI3K-10	train1	FITTED	0.9592772	0.7694914	1.0	3.243717
0	GFP-1	train0	PREDICTED	0.0268113	0.0	0.2078716	-2.992451
1	GFP-2	train0	PREDICTED	0.0253483	0.0	0.2147165	-7.5318455
2	GFP-3	train0	PREDICTED	0.0476929	0.0	0.2872146	-2.5009796
3	GFP-4	train0	PREDICTED	0.0272555	0.0	0.1965116	-2.8247959
4	GFP-5	train0	PREDICTED	0.042058	0.0	0.255526	-2.8919112
5	GFP-7	train0	PREDICTED	0.0495825	2.5e-06	0.2510988	-2.177332
6	GFP-8	train0	PREDICTED	0.0336371	0.0	0.2216843	-2.9047637
7	GFP-10	train0	PREDICTED	0.0793952	8e-07	0.3230805	-1.807949
8	PI3K-1	train1	PREDICTED	0.9367476	0.6989099	0.9999903	2.0020801
9	PI3K-2	train1	PREDICTED	0.9599196	0.7556288	1.0	3.0152409
10	PI3K-4	train1	PREDICTED	0.9513371	0.7368842	0.9999998	2.32423
11	PI3K-5	train1	PREDICTED	0.9553389	0.7498938	0.9999994	2.4313457
12	PI3K-6	train1	PREDICTED	0.9683165	0.7649811	1.0	3.0384083
13	PI3K-7	train1	PREDICTED	0.9455936	0.7000052	1.0	2.4667397
14	PI3K-8	train1	PREDICTED	0.9819093	0.8484293	1.0	5.3221503
15	PI3K-9	train1	PREDICTED	0.9310777	0.6772327	0.9999698	1.9007719
16	PI3K-10	train1	PREDICTED	0.9705783	0.7697219	1.0	3.182161
17	184A1	test	PREDICTED	0.2288685	0.0061482	0.5107501	-0.8668393
18	184B5	test	PREDICTED	0.1722605	0.000207	0.4553805	-1.2307626
19	21MT1	test	PREDICTED	0.3501257	0.1041472	0.5845857	-0.3713204
20	21MT2	test	PREDICTED	0.3236077	0.0723043	0.5635649	-0.4587228
21	21NT	test	PREDICTED	0.3791317	0.1354436	0.6016665	-0.2832451
22	21PT	test	PREDICTED	0.361705	0.1217142	0.5922943	-0.3353586
23	600MPE	test	PREDICTED	0.3862183	0.145744	0.6060906	-0.2626424
24	AU565	test	PREDICTED	0.8511645	0.5900913	0.9999999	1.6009049
25	BT474	test	PREDICTED	0.8232682	0.5595914	0.9999971	1.380649
26	BT483	test	PREDICTED	0.5650539	0.3077814	0.8488072	0.2236602
27	BT549	test	PREDICTED	0.735662	0.4627337	0.9982702	0.8544449
28	CAMA1	test	PREDICTED	0.8413258	0.5807292	0.9999996	1.519186
29	EFM192A	test	PREDICTED	0.8763816	0.6167574	1.0	1.8360656
30	EFM192B	test	PREDICTED	0.89089	0.634292	1.0	1.9932695
31	EFM192C	test	PREDICTED	0.8985908	0.6437263	1.0	2.0853339
32	HCC1143	test	PREDICTED	0.2170643	0.0035266	0.4990801	-0.9333599
33	HCC1395	test	PREDICTED	0.8031069	0.5371516	0.999979	1.2405344
34	HCC1419	test	PREDICTED	0.8151705	0.5481607	0.9999933	1.3226933
35	HCC1428	test	PREDICTED	0.8321395	0.572612	0.9999989	1.4469996
36	HCC1569	test	PREDICTED	0.6655873	0.3943312	0.9763808	0.5511593
37	HCC1599	test	PREDICTED	0.5563184	0.3014415	0.8301853	0.1987837
38	HCC1806	test	PREDICTED	0.2277886	0.0058921	0.5096165	-0.8727436
39	HCC1937	test	PREDICTED	0.1579192	6.17e-05	0.4408948	-1.343833
40	HCC1954	test	PREDICTED	0.282052	0.0297262	0.538671	-0.6149431
41	HCC202	test	PREDICTED	0.55958	0.3037905	0.8372692	0.2080278
42	HCC2218	test	PREDICTED	0.7041612	0.436919	0.9930696	0.7079037
43	HCC3153	test	PREDICTED	0.226919	0.0056921	0.5086986	-0.8775241
44	HCC38	test	PREDICTED	0.7512195	0.4781573	0.9992181	0.9339872
45	HCC70	test	PREDICTED	0.4059604	0.1621271	0.618277	-0.2067083
46	HS578T	test	PREDICTED	0.6727027	0.4032587	0.9805036	0.5784155
47	JIMT1	test	PREDICTED	0.4163156	0.1694921	0.6275031	-0.1780789
48	LY2	test	PREDICTED	0.8428709	0.5821595	0.9999997	1.5317041
49	MB157	test	PREDICTED	0.1430959	1.28e-05	0.4281226	-1.4722091
50	MCF10A	test	PREDICTED	0.2649094	0.0216364	0.5289743	-0.6885936
51	MCF10F	test	PREDICTED	0.0924623	0.0	0.3573297	-2.0441654
52	MCF12A	test	PREDICTED	0.5353906	0.2810739	0.7819024	0.1405581
53	MCF7	test	PREDICTED	0.8521208	0.5910298	0.9999999	1.6091136
54	MDAMB134VI	test	PREDICTED	0.7638385	0.493466	0.9996204	1.0023685
55	MDAMB175	test	PREDICTED	0.3458496	0.0977015	0.5809074	-0.3849094
56	MDAMB231	test	PREDICTED	0.6186599	0.3518857	0.9334165	0.3868345
57	MDAMB361	test	PREDICTED	0.6852113	0.4146701	0.9868935	0.6280753
58	MX1	test	PREDICTED	0.2085691	0.0022911	0.4906913	-0.9840485
59	SKBR3	test	PREDICTED	0.8331424	0.5737671	0.999999	1.4547016
60	SUM1315	test	PREDICTED	0.8153325	0.5482698	0.9999934	1.32383
61	SUM149PT	test	PREDICTED	0.2897398	0.0349628	0.5440575	-0.5838566
62	SUM225CWN	test	PREDICTED	0.4726252	0.2224964	0.6891998	-0.0272863
