!Sample_title	PI3K_1	PI3K_2	PI3K_3	PI3K_4	PI3K_5	PI3K_6	PI3K_7	PI3K_8	GFP_1	GFP_2	GFP_3	GFP_4	GFP_5	GFP_6	GFP_7	GFP_8	GFP_9	GFP_10	GFP_11
1007_s_at	10.72332	10.61088	10.77164	10.61671	10.73479	10.78911	10.96317	10.76772	10.85353	10.89646	10.98999	10.92391	11.02184	11.02099	10.92737	10.6636	10.64215	10.80616	10.83665
1053_at	6.316735	6.260625	6.033463	6.280193	6.242744	6.213858	5.971683	6.206471	4.919102	4.684085	4.653304	4.685505	4.6271	4.788433	4.926279	4.960934	4.91442	4.716565	4.788956
117_at	4.048568	4.042706	4.271697	4.195226	4.199278	4.099975	4.240022	4.121181	4.373805	4.353909	4.781922	4.354485	4.231994	4.348104	4.35685	4.612511	4.339666	4.673882	4.084672
121_at	5.153525	5.26326	5.320234	5.069882	4.96529	4.981544	5.269023	5.047805	5.421382	5.599563	5.247122	5.458859	5.252424	5.42214	5.506254	5.077978	5.199183	5.152884	5.056283
1255_g_at	3.743168	3.683923	3.791799	3.737717	3.662781	3.710904	3.731261	3.784308	3.72036	3.707481	3.68867	3.722187	3.752149	3.62707	3.683774	3.617034	3.657738	3.710095	3.676141
1294_at	5.688208	5.442364	5.450817	5.607058	5.805857	5.481432	5.765478	5.640738	5.262516	5.033695	5.322885	5.196505	5.324839	5.329262	5.181908	4.963714	5.073747	4.871816	5.170798
1316_at	4.274901	4.195941	4.176416	4.192003	4.088901	4.198106	4.417766	4.14866	4.270819	4.197991	4.202885	4.384718	4.261115	4.545183	4.256647	4.379116	4.408092	4.270511	4.265663
1320_at	4.57895	4.604436	4.333916	4.371069	4.287588	4.596198	4.518291	4.445727	4.410192	4.423207	4.253468	4.285171	4.297966	4.279092	4.265059	4.277513	4.215501	4.295735	4.387036
1405_i_at	4.093697	4.128787	4.144116	3.880601	3.956679	4.054334	3.962666	4.015738	4.220098	4.042862	4.057881	4.06834	4.036236	4.278473	4.032003	3.877981	3.99203	4.208212	4.109169
1431_at	3.955592	3.876853	3.991538	3.964218	4.04321	3.924086	3.849392	4.034032	3.982549	4.061138	4.13464	3.97464	4.004553	4.088655	3.84431	3.901378	4.017495	3.983853	4.08679
1438_at	8.320619	8.063797	8.360499	8.131647	8.309626	8.209879	8.736763	8.41848	8.28358	8.633446	8.628535	8.215895	8.750194	8.34974	8.236639	7.927251	7.97197	7.970096	8.170739
1487_at	5.34319	5.432024	5.430918	5.51672	5.480811	5.381812	5.384184	5.443302	5.479445	5.434234	5.47273	5.614101	5.623365	5.53969	5.551299	5.285809	5.405623	5.439538	5.470195
1494_f_at	4.13308	4.012324	4.227346	4.077139	4.135473	4.011323	4.101824	4.04029	4.279255	4.401364	4.32805	4.166758	4.269235	4.233657	4.255289	4.106729	4.16772	4.242341	4.218616
1598_g_at	10.0202	9.821696	9.957157	9.828724	9.903294	10.0617	10.15773	10.06241	10.37332	10.2961	10.69183	10.55626	10.56343	10.64065	10.56995	10.30971	10.3594	10.55059	10.49951
160020_at	9.894434	9.687833	9.944317	9.781234	9.966421	9.87907	10.02568	9.879515	9.988955	9.981297	10.22184	10.24335	10.14486	10.32233	10.25534	9.548838	9.655299	9.989449	9.753249
1729_at	6.558695	6.603397	6.460042	6.585066	6.594156	6.557458	6.719497	6.611973	6.272585	6.543897	6.808761	6.293086	6.512406	6.69971	6.529069	6.694449	6.387388	6.308822	6.501834
1773_at	5.249353	5.328946	5.290531	5.425119	5.419539	5.451138	5.362093	5.407154	4.810212	5.025416	5.179275	4.935071	4.805515	4.90666	5.008909	4.97104	4.95109	4.954727	5.029929
177_at	5.138122	5.112383	5.134783	5.301931	5.113421	5.029694	5.229066	5.14641	4.963881	5.169609	5.243156	5.036477	5.070179	5.133912	4.974349	5.148127	5.292494	4.898119	4.896582
179_at	5.722056	5.841991	5.915215	6.088399	5.534683	5.866775	5.875833	5.810307	6.51738	6.442009	7.010056	6.605001	6.607226	6.562296	6.530555	6.420128	6.523129	6.068205	6.211404
1861_at	5.915092	6.219254	6.033659	6.41952	6.139283	6.043977	5.530117	5.841467	5.647097	5.747442	5.615713	5.500579	5.381402	5.534928	5.401723	5.603047	5.677915	5.441261	5.596287
200000_s_at	9.590788	9.474869	9.601913	9.429306	9.875115	9.482798	9.62383	9.616168	9.68738	9.824325	9.941534	9.888245	9.789221	9.852818	9.838324	9.66424	9.631723	9.710315	9.65485
200001_at	10.47028	10.61528	10.67236	10.55244	10.55381	10.5368	10.44277	10.50103	10.30545	10.18115	10.09108	10.16408	9.977408	10.1574	10.13633	10.20383	10.1399	10.10802	9.857083
200002_at	11.2957	11.27928	11.25661	11.36675	11.07675	11.16943	11.11362	11.1361	11.3723	11.29273	11.1894	11.15826	11.1617	11.10412	11.17173	11.26292	11.3094	11.18783	11.22162
200003_s_at	12.30276	12.29419	12.28879	12.44895	12.37487	12.15675	12.26822	12.19629	12.19646	12.25566	12.12475	12.02767	12.15605	12.14936	12.15377	12.2771	12.21201	12.19293	12.15895
200004_at	10.59318	10.65537	10.581	10.57226	10.55521	10.51155	10.49755	10.47812	10.75692	10.69806	10.74398	10.79763	10.67602	10.6012	10.74228	10.75469	10.81294	10.76279	10.87995
200005_at	10.8164	11.02438	10.95144	10.93068	10.89497	10.82547	10.75734	10.67776	10.67574	10.65809	10.64062	10.72791	10.68582	10.5323	10.58344	10.80464	10.87341	10.82421	10.62899
200006_at	10.10179	10.18881	10.2797	10.34747	10.15589	10.1821	10.15408	10.13187	10.02368	10.07053	9.851977	9.729662	9.868361	9.811367	9.73136	10.20694	10.01697	9.898502	9.928656
200007_at	9.85366	10.11145	9.898943	10.08669	9.931945	9.861708	9.736363	9.844463	9.662087	9.497425	9.570931	9.424207	9.215305	9.433814	9.618865	9.698997	9.77017	9.615859	9.466358
200008_s_at	10.04635	10.19832	10.06215	10.21089	10.05459	9.941251	9.996229	10.02442	9.738225	9.756405	9.33992	9.638352	9.296768	9.534716	9.491857	9.864635	9.871296	9.771336	9.366936
200009_at	10.94721	11.02283	10.97897	11.18367	11.05765	10.91121	11.00527	10.99455	10.64872	10.70549	10.44561	10.52055	10.48393	10.52291	10.47558	10.90444	10.74984	10.90078	10.51835
200010_at	11.46987	11.39667	11.31015	11.36208	11.31621	11.17053	11.27952	11.28137	11.33008	11.35351	11.27282	11.29445	11.29362	11.26393	11.28734	11.34596	11.39918	11.38428	11.46534
200011_s_at	8.006031	8.224183	8.120751	8.068453	8.104587	7.986731	7.923184	7.808258	7.802543	7.605528	7.815961	7.652048	7.409035	7.530191	7.776792	7.485683	7.569614	7.517383	7.307367
200012_x_at	12.36761	12.32432	12.39139	12.34757	12.29096	12.23149	12.2935	12.33288	12.30944	12.2411	12.11484	12.1089	12.09292	12.17512	12.20577	12.26196	12.14946	12.04045	12.11538
200013_at	11.25443	11.23186	11.20062	11.3668	11.19049	11.12208	11.18303	11.20656	11.00121	11.04815	10.9645	10.79587	10.87525	10.82868	10.91671	11.04572	11.05815	10.93473	11.02668
200014_s_at	9.48243	9.432352	9.585174	9.510861	9.38389	9.385033	9.30696	9.301875	8.971877	9.149694	8.601706	8.679662	8.586731	8.422152	8.809425	9.142821	9.228544	9.050344	8.859639
200015_s_at	9.323551	9.201858	9.484219	9.311199	9.435782	9.323551	9.213388	9.242887	9.390798	9.305552	9.222063	9.36997	9.323551	9.130533	9.431312	9.323551	9.323551	9.2531	9.3969
200016_x_at	11.17747	11.24537	11.31087	11.28751	11.2614	11.16284	11.06683	11.16662	11.34875	11.30992	11.27662	11.34062	11.15996	11.24195	11.24817	11.41819	11.54833	11.33707	11.27578
200017_at	11.93107	11.87638	11.77574	11.88588	11.75096	11.85023	11.93438	11.78945	11.93645	11.92841	11.82089	11.88525	12.01074	11.83415	11.84437	11.91615	11.97332	11.86569	12.04681
200018_at	12.12022	12.01367	12.21047	12.20568	12.15771	12.14063	12.07277	12.13682	12.14614	12.16035	12.00768	12.10104	11.98218	12.16326	12.07946	12.1004	12.17302	11.963	12.09388
200019_s_at	11.37486	11.40207	11.21245	11.55391	11.50117	11.36465	11.17038	11.33787	11.27061	11.32704	11.21853	10.99458	11.17492	11.23865	11.18269	11.34265	11.32764	11.14223	11.20021
200020_at	8.080923	8.066034	8.100948	8.337449	8.096676	8.28283	8.195639	8.105758	8.469439	8.68212	8.699003	8.721162	8.75781	8.707288	8.676661	8.736684	8.801596	8.922153	8.978327
200021_at	12.24566	12.20684	12.30237	12.26733	12.39486	12.38154	12.15116	12.21287	12.20684	12.14254	12.18415	12.17016	12.12156	12.15214	12.20684	12.02195	12.098	12.07534	12.02957
