	GFP-1	GFP-2	GFP-3	GFP-4	GFP-5	GFP-7	GFP-8	GFP-10
WASH7P	4.20185790977682	4.53365835369428	4.44263402604597	4.44349650372759	4.3570664785672	3.98832267454097	4.33420230935341	4.33085541474238
LOC729737	3.2714646703387	3.1620970379111	3.3888032565973	3.35268924515955	2.87403468415001	2.5312561743444	2.74819830822387	2.81046666374713
LOC100133331	0.809467121362789	0.891314842896339	0.75371625247266	0.748447833560037	0.709581870888149	0.6277085594866	0.641208754804766	0.672923931566437
MIR6723	8.1775235500605	7.95996260086482	8.49394314369109	8.33983147731906	7.34519151158167	7.61849862497733	8.45493609327475	8.36780748130594
LOC100288069	0.390047202626122	0.644219565977947	0.1513526455621	0.857304618493915	0.463805362002987	0.677735401268618	0.440177990522846	0.461246419911563
FAM87B	0.448785085697312	0.709437421487121	0.89381501653711	0.131460852648835	0.123185830046143	0.358309971077758	0.116192681176635	0.262151856693093
LINC00115	1.26326348555627	1.40093453950133	1.61946927421774	1.70183582525496	1.9119036519183	1.41390152927557	1.79742852389617	1.90505927642635
LINC01128	2.54599872251212	2.58052684065444	2.50613477944421	2.46979066241765	2.88382504997591	2.36184408454718	2.48318770391915	2.89397324419775
FAM41C	0	0	0	0	0.686554997225421	0.111449958745576	0	0.203360119351378
LOC100130417	0	0.95124526708796	0	0	1.03427352799182	0	0	0.333803331246682
SAMD11	1.28938939408752	1.01960084149297	1.2055647209378	0.78756902085904	1.78346313316547	1.19379116240502	0.595228246811019	1.30227480309382
NOC2L	5.5185621224373	5.66451914511127	5.38106899541979	5.70782930183293	6.35663454745875	5.44534385057286	5.66141225225352	6.26763098763671
KLHL17	3.85806359099776	4.13868393400768	3.84465413897103	4.01702714349926	4.62375347858796	3.4584980681331	3.92415331377606	4.57369751757379
PLEKHN1	4.03342358482683	3.92530474607309	4.016992703064	4.09290495788072	3.92178906571901	3.67938045380532	3.81951866202651	3.77837908157984
PERM1	2.88899338423682	2.80486376963936	2.76456159083054	2.82120443283052	1.96709044480162	2.28909832834842	2.69504349996336	2.42597811262759
HES4	8.12275860142701	8.56435018120977	8.48656167558378	8.11216102954012	8.7627935226208	7.84862094411482	8.11578273750844	8.78671794380547
ISG15	10.7381927102221	10.8508805549072	10.9254472293576	10.7079331535894	10.5618907031949	10.770673881443	10.9234113528653	10.4655680266887
AGRN	8.050300837274	8.01704760133536	7.59114816839775	7.76654358959879	7.96508202441301	7.36011657423094	7.58327214696234	7.95370593095605
RNF223	3.53869173056317	3.42853859738478	3.32992018153139	3.04841487157426	3.48453928404551	2.6993835853009	3.12130616227334	3.57688462637956
C1orf159	4.52663793712539	4.59142803459492	4.58014449564933	4.51478851908081	4.79527904211276	3.84296070579323	4.44926686601912	4.86333840007438
MIR200A	0	0	2.12760895204132	1.61385707245641	0	0	0	1.95212196556437
MIR429	3.49257333797004	3.07695815128961	2.69626216621453	3.60554379415672	2.3716959113476	2.57345689190303	3.67653390451519	3.36936852165265
TTLL10	0.063972488600746	0.0694648785562768	0.421429956827777	0.236114223084487	0.735137159085784	0.285631053241687	0.0732822533879909	0.657857716846337
TNFRSF18	1.40878943201057	1.72908780630178	1.81862347929639	1.85892794224039	2.72937751024852	1.61127675292285	1.66626982602437	2.89844500093295
TNFRSF4	1.88698018898605	2.52441270147152	2.78796072607491	1.67078765868819	2.20478567299936	2.87371183979232	2.40132362851602	1.46174249262085
SDF4	8.16120722495327	8.37565812491415	8.26070769536643	8.46499775507398	8.66965722889351	8.28780226188607	8.34341461416747	8.67371228384469
B3GALT6	5.49360604482334	5.68571141335718	5.42941189856619	5.55153287351713	5.71631183935026	5.30283270111991	5.65880360160806	5.89602930234646
FAM132A	2.68724435469268	2.85104978998637	3.12199671398177	2.00822606424982	3.41089162371814	2.58301544604936	1.74193800004264	2.82094474315002
